Year,Trimester,District,Neighbourhood,Price (euro/month),Price (euro/m2)
2014,4,Sant Marti,Sant Marti de Provencals,636.3,8.86
2014,4,Sant Marti,la Verneda i la Pau,552.58,8.14
2015,1,Ciutat Vella,el Raval,601.31,10.6
2015,1,Ciutat Vella,Gothic Quarter,756.68,10.45
2015,1,Ciutat Vella,la Barceloneta,581.34,15.67
2015,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",697.16,11.51
2015,1,Eixample,Fort Pienc,753.76,10.17
2015,1,Eixample,Sagrada Familia,679.03,10.21
2015,1,Eixample,la Dreta de l'Eixample,957.55,10.5
2015,1,Eixample,l'Antiga Esquerra de l'Eixample,859.64,10.58
2015,1,Eixample,la Nova Esquerra de l'Eixample,766.18,10.51
2015,1,Eixample,Sant Antoni,740.41,10.21
2015,1,Sants-Montjuic,el Poble Sec,578.76,10.27
2015,1,Sants-Montjuic,la Marina de Port,492.49,6.91
2015,1,Sants-Montjuic,la Font de la Guatlla,728.25,11.2
2015,1,Sants-Montjuic,Hostafrancs,614.15,10.69
2015,1,Sants-Montjuic,la Bordeta,621.71,8.73
2015,1,Sants-Montjuic,Sants - Badal,606.48,9.92
2015,1,Sants-Montjuic,Sants,616.05,10.3
2015,1,Les Corts,les Corts,822.36,10.58
2015,1,Les Corts,la Maternitat i Sant Ramon,727.99,10.56
2015,1,Les Corts,Pedralbes,1250.83,11.37
2015,1,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",1335.71,16.93
2015,1,Sarria-Sant Gervasi,Sarria,917.13,12.26
2015,1,Sarria-Sant Gervasi,les Tres Torres,1335.63,12.8
2015,1,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,954.0,11.08
2015,1,Sarria-Sant Gervasi,Sant Gervasi - Galvany,1088.66,11.38
2015,1,Sarria-Sant Gervasi,el Putxet i el Farro,758.44,11.4
2015,1,Gracia,Vallcarca i els Penitents,777.25,10.62
2015,1,Gracia,el Coll,576.44,9.36
2015,1,Gracia,la Salut,673.2,10.25
2015,1,Gracia,la Vila de Gracia,707.17,11.45
2015,1,Gracia,el Camp d'en Grassot i Gracia Nova,701.69,10.62
2015,1,Horta-Guinardo,el Baix Guinardo,653.16,10.34
2015,1,Horta-Guinardo,Can Baro,521.06,8.66
2015,1,Horta-Guinardo,el Guinardo,601.06,10.08
2015,1,Horta-Guinardo,la Font d'en Fargues,733.81,9.75
2015,1,Horta-Guinardo,el Carmel,485.74,8.6
2015,1,Horta-Guinardo,la Teixonera,505.02,8.66
2015,1,Horta-Guinardo,Sant Genis dels Agudells,543.33,7.64
2015,1,Horta-Guinardo,Montbau,608.87,8.93
2015,1,Horta-Guinardo,la Vall d'Hebron,740.0,9.93
2015,1,Horta-Guinardo,Horta,585.54,8.87
2015,1,Nou Barris,Vilapicina i la Torre Llobeta,561.58,8.98
2015,1,Nou Barris,Porta,545.86,8.28
2015,1,Nou Barris,el Turo de la Peira,455.96,7.21
2015,1,Nou Barris,la Guineueta,626.23,8.3
2015,1,Nou Barris,les Roquetes,461.89,8.26
2015,1,Nou Barris,Verdun,469.83,8.8
2015,1,Nou Barris,la Prosperitat,515.49,9.05
2015,1,Nou Barris,la Trinitat Nova,433.81,8.13
